Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
TIME TAKEN FOR CCL CLUSTERISATION: 0.043409s
After: Module: 755, Clusters in module: 24, Cell 0, Point (179, 118) belongs to cluster 1. Activation: 0.032330
After: Module: 755, Clusters in module: 24, Cell 530, Point (102, 840) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 531, Point (317, 840) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 532, Point (102, 841) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 533, Point (317, 841) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 534, Point (245, 841) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 535, Point (317, 842) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 536, Point (102, 842) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 537, Point (245, 842) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 538, Point (102, 843) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 539, Point (317, 843) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 540, Point (245, 843) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 541, Point (102, 844) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 542, Point (317, 844) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 543, Point (245, 844) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 544, Point (245, 845) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 545, Point (102, 845) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 546, Point (317, 845) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 547, Point (102, 846) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 548, Point (317, 846) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 549, Point (245, 846) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 550, Point (102, 847) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 551, Point (317, 847) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 552, Point (245, 847) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 553, Point (102, 848) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 554, Point (317, 848) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 555, Point (245, 848) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 556, Point (102, 849) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 557, Point (317, 849) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 558, Point (245, 849) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 559, Point (102, 850) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 560, Point (245, 850) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 561, Point (317, 850) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 562, Point (102, 851) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 563, Point (317, 851) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 564, Point (245, 851) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 565, Point (102, 852) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 566, Point (317, 852) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 567, Point (245, 852) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 568, Point (317, 853) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 569, Point (102, 853) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 570, Point (245, 853) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 571, Point (317, 854) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 572, Point (103, 854) belongs to cluster 15. Activation: 0.047515
After: Module: 755, Clusters in module: 24, Cell 573, Point (245, 854) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 574, Point (103, 855) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 575, Point (245, 855) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 576, Point (317, 855) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 577, Point (245, 856) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 578, Point (103, 856) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 579, Point (317, 856) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 580, Point (245, 857) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 581, Point (317, 857) belongs to cluster 13. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 582, Point (103, 857) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 583, Point (103, 858) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 584, Point (245, 858) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 585, Point (317, 858) belongs to cluster 13. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 586, Point (103, 859) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 587, Point (245, 859) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 588, Point (317, 859) belongs to cluster 13. Activation: 0.044253
After: Module: 755, Clusters in module: 24, Cell 589, Point (245, 860) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 590, Point (103, 860) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 591, Point (103, 861) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 592, Point (245, 861) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 593, Point (103, 862) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 594, Point (245, 862) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 595, Point (103, 863) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 596, Point (245, 863) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 597, Point (103, 864) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 598, Point (245, 864) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 599, Point (103, 865) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 600, Point (245, 865) belongs to cluster 14. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 601, Point (103, 866) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 602, Point (245, 866) belongs to cluster 14. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 603, Point (103, 867) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 604, Point (103, 868) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 605, Point (103, 869) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 606, Point (103, 870) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 607, Point (103, 871) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 608, Point (103, 872) belongs to cluster 15. Activation: 0.056258
After: Module: 755, Clusters in module: 24, Cell 609, Point (103, 873) belongs to cluster 15. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 610, Point (103, 874) belongs to cluster 15. Activation: 0.028264
After: Module: 755, Clusters in module: 24, Cell 611, Point (227, 1005) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 612, Point (227, 1006) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 613, Point (227, 1007) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 614, Point (227, 1008) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 615, Point (227, 1009) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 616, Point (227, 1010) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 617, Point (227, 1011) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 618, Point (227, 1012) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 619, Point (227, 1013) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 620, Point (227, 1014) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 621, Point (227, 1015) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 622, Point (227, 1016) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 623, Point (227, 1017) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 624, Point (227, 1018) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 625, Point (227, 1019) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 626, Point (227, 1020) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 627, Point (227, 1021) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 628, Point (227, 1022) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 629, Point (227, 1023) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 630, Point (227, 1024) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 631, Point (227, 1025) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 632, Point (227, 1026) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 633, Point (227, 1027) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 634, Point (227, 1028) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 635, Point (227, 1029) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 636, Point (227, 1030) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 637, Point (227, 1031) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 638, Point (227, 1032) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 639, Point (227, 1033) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 640, Point (227, 1034) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 641, Point (227, 1035) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 642, Point (227, 1036) belongs to cluster 16. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 643, Point (227, 1037) belongs to cluster 16. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 644, Point (227, 1038) belongs to cluster 16. Activation: 0.022100
After: Module: 755, Clusters in module: 24, Cell 645, Point (328, 1048) belongs to cluster 17. Activation: 0.044485
After: Module: 755, Clusters in module: 24, Cell 646, Point (328, 1049) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 647, Point (328, 1050) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 648, Point (328, 1051) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 649, Point (328, 1052) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 650, Point (328, 1053) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 651, Point (328, 1054) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 652, Point (328, 1055) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 653, Point (328, 1056) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 654, Point (328, 1057) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 655, Point (328, 1058) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 656, Point (328, 1059) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 657, Point (328, 1060) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 658, Point (328, 1061) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 659, Point (78, 1062) belongs to cluster 18. Activation: 0.016404
After: Module: 755, Clusters in module: 24, Cell 660, Point (328, 1062) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 661, Point (328, 1063) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 662, Point (78, 1063) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 663, Point (328, 1064) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 664, Point (78, 1064) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 665, Point (78, 1065) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 666, Point (328, 1065) belongs to cluster 17. Activation: 0.041180
After: Module: 755, Clusters in module: 24, Cell 667, Point (329, 1065) belongs to cluster 17. Activation: 0.015068
After: Module: 755, Clusters in module: 24, Cell 668, Point (78, 1066) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 669, Point (329, 1066) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 670, Point (329, 1067) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 671, Point (78, 1067) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 672, Point (329, 1068) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 673, Point (78, 1068) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 674, Point (329, 1069) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 675, Point (78, 1069) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 676, Point (329, 1070) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 677, Point (78, 1070) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 678, Point (329, 1071) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 679, Point (78, 1071) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 680, Point (329, 1072) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 681, Point (78, 1072) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 682, Point (329, 1073) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 683, Point (78, 1073) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 684, Point (329, 1074) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 685, Point (78, 1074) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 686, Point (329, 1075) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 687, Point (78, 1075) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 688, Point (329, 1076) belongs to cluster 17. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 689, Point (78, 1076) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 690, Point (78, 1077) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 691, Point (329, 1077) belongs to cluster 17. Activation: 0.056248
After: Module: 755, Clusters in module: 24, Cell 692, Point (78, 1078) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 693, Point (329, 1078) belongs to cluster 17. Activation: 0.024885
After: Module: 755, Clusters in module: 24, Cell 694, Point (32, 1079) belongs to cluster 19. Activation: 0.047487
After: Module: 755, Clusters in module: 24, Cell 695, Point (78, 1079) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 696, Point (32, 1080) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 697, Point (78, 1080) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 698, Point (32, 1081) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 699, Point (78, 1081) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 700, Point (32, 1082) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 701, Point (78, 1082) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 702, Point (32, 1083) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 703, Point (78, 1083) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 704, Point (32, 1084) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 705, Point (78, 1084) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 706, Point (32, 1085) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 707, Point (78, 1085) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 708, Point (32, 1086) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 709, Point (78, 1086) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 710, Point (32, 1087) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 711, Point (78, 1087) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 712, Point (78, 1088) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 713, Point (32, 1088) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 714, Point (78, 1089) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 715, Point (32, 1089) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 716, Point (32, 1090) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 717, Point (78, 1090) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 718, Point (32, 1091) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 719, Point (78, 1091) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 720, Point (32, 1092) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 721, Point (78, 1092) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 722, Point (32, 1093) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 723, Point (78, 1093) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 724, Point (32, 1094) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 725, Point (78, 1094) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 726, Point (78, 1095) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 727, Point (32, 1095) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 728, Point (32, 1096) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 729, Point (78, 1096) belongs to cluster 18. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 730, Point (32, 1097) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 731, Point (78, 1097) belongs to cluster 18. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 732, Point (32, 1098) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 733, Point (78, 1098) belongs to cluster 18. Activation: 0.045312
After: Module: 755, Clusters in module: 24, Cell 734, Point (32, 1099) belongs to cluster 19. Activation: 0.056277
After: Module: 755, Clusters in module: 24, Cell 735, Point (32, 1100) belongs to cluster 19. Activation: 0.056273
After: Module: 755, Clusters in module: 24, Cell 736, Point (32, 1101) belongs to cluster 19. Activation: 0.048429
After: Module: 755, Clusters in module: 24, Cell 737, Point (165, 1106) belongs to cluster 20. Activation: 0.013840
After: Module: 755, Clusters in module: 24, Cell 738, Point (332, 1107) belongs to cluster 21. Activation: 0.027636
After: Module: 755, Clusters in module: 24, Cell 739, Point (165, 1107) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 740, Point (332, 1108) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 741, Point (165, 1108) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 742, Point (332, 1109) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 743, Point (165, 1109) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 744, Point (332, 1110) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 745, Point (165, 1110) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 746, Point (332, 1111) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 747, Point (165, 1111) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 748, Point (165, 1112) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 749, Point (332, 1112) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 750, Point (165, 1113) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 751, Point (332, 1113) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 752, Point (165, 1114) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 753, Point (332, 1114) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 754, Point (165, 1115) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 755, Point (332, 1115) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 756, Point (165, 1116) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 757, Point (332, 1116) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 758, Point (332, 1117) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 759, Point (165, 1117) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 760, Point (332, 1118) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 761, Point (165, 1118) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 762, Point (332, 1119) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 763, Point (165, 1119) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 764, Point (332, 1120) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 765, Point (165, 1120) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 766, Point (165, 1121) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 767, Point (332, 1121) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 768, Point (165, 1122) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 769, Point (332, 1122) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 770, Point (165, 1123) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 771, Point (332, 1123) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 772, Point (165, 1124) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 773, Point (332, 1124) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 774, Point (165, 1125) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 775, Point (332, 1125) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 776, Point (165, 1126) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 777, Point (332, 1126) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 778, Point (165, 1127) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 779, Point (332, 1127) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 780, Point (332, 1128) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 781, Point (165, 1128) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 782, Point (165, 1129) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 783, Point (332, 1129) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 784, Point (165, 1130) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 785, Point (332, 1130) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 786, Point (165, 1131) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 787, Point (332, 1131) belongs to cluster 21. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 788, Point (165, 1132) belongs to cluster 20. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 789, Point (332, 1132) belongs to cluster 21. Activation: 0.056250
After: Module: 755, Clusters in module: 24, Cell 790, Point (165, 1133) belongs to cluster 20. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 791, Point (332, 1133) belongs to cluster 21. Activation: 0.056254
